course_id,course_name,section_id,session,days/times,dates,instructor,status
¥ARTHUA800128049¥,¥ARTH-UA 800 - Advanced Seminar¥,¥Section: 003-SEM (9430)¥,¥Topic: In Black and White: Printmaking in Europe, 1550-17¥,¥Session: Regular Academic Session¥,¥Days/Times: We 2:00pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Louise Rice¥
¥ARTHUA800128049¥,¥ARTH-UA 800 - Advanced Seminar¥,¥Section: 005-SEM (19921)¥,¥Topic: Eat, Pray, Love: Painted World in India¥,¥Session: Regular Academic Session¥,¥Days/Times: Th 9:30am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Dipti Khera¥
¥ARTHUA801128050¥,¥ARTH-UA 801 - Senior Honors Thesis I¥,¥Section: 001-SEM (9426)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 12:30pm - 3:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: James D Morgan¥,¥Status: Open¥
¥ARTHUA804128053¥,¥ARTH-UA 804 - Independent Studies¥,¥Section: 002-IND (9456)¥,¥Session: Regular Academic Session¥,¥Days/Times: TBA¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Meredith S Martin¥,¥Status: Open¥
¥ARTHUA850160393¥,¥ARTH-UA 850 - Special Topics:¥,¥Section: 001-LEC (9965)¥,¥Topic: Art and Politics: Exhibiting the Visual Propaganda¥,¥Session: Regular Academic Session¥,¥Days/Times: Mo 2:00pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Miriam M Basilio¥
¥ARTHUA850160393¥,¥ARTH-UA 850 - Special Topics:¥,¥Section: 002-LEC (9966)¥,¥Topic: Cities & Sanctuaries of AncientGreece:;¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Joan Breton Connelly¥
¥ARTHUA850160393¥,¥ARTH-UA 850 - Special Topics:¥,¥Section: 003-LEC (9971)¥,¥Topic: Art and Law¥,¥Session: Regular Academic Session¥,¥Days/Times: TuTh 9:30am - 10:45am¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Leila A Amineddoleh¥
¥ARTHUA850160393¥,¥ARTH-UA 850 - Special Topics:¥,¥Section: 004-LEC (21142)¥,¥Topic: Approaching Art History¥,¥Session: Regular Academic Session¥,¥Days/Times: Mo 11:00am - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Joseph Low Karmel¥
¥BIOLUA11126627¥,¥BIOL-UA 11 - Principles of Biology I¥,¥Section: 001-LEC (7953)¥,¥Session: Regular Academic Session¥,¥Days/Times: MoWe 9:30am - 10:45am Fr 2:00pm - 4:00pm Fr 2:00pm - 4:00pm¥,¥Dates: 09/03/2019 - 12/13/2019 10/11/2019 - 10/11/2019 11/08/2019 - 11/08/2019¥,¥Instructor: David H A Fitch, Stephen J Small¥,¥Status: Open¥
¥BIOLUA11126627¥,¥BIOL-UA 11 - Principles of Biology I¥,¥Section: 002-RCT (7954)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 11:00am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Natasha Christine Koussa¥,¥Status: Open¥
