¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥001-LEC (9424)¥,¥Social History of Photography¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Samuel Corey Allen, Shelley Rice¥,¥Closed¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥002-LEC (9425)¥,¥Neoclassicism to Realism¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Meredith S Martin¥,¥Open¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥003-LEC (19797)¥,¥Neo-Dada, Pop,/Minimalism:From Painting to Concept¥,¥Regular Academic Session¥,¥MoWe 4:55pm - 6:10pm¥,¥09/03/2019 - 12/13/2019¥,¥Julia E Robinson¥,¥Open¥
¥ARTHUA450128005¥,¥ARTH-UA 450 - Sp Tpcs Modern Art:¥,¥004-LEC (19798)¥,¥Global Contemporary Art¥,¥Regular Academic Session¥,¥MoWe 4:55pm - 6:10pm¥,¥09/03/2019 - 12/13/2019¥,¥Eana Kim, Joseph Low Karmel¥,¥Open¥
¥ARTHUA510128011¥,¥ARTH-UA 510 - East Asian Art I: China, Korea, Japan to 1000 Ce¥,¥001-LEC (9793)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:30pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Lyla Marie Halsted, Michele Alberto Matteini¥,¥Closed¥
¥ARTHUA530128017¥,¥ARTH-UA 530 - South Asian Art I: Indus Valley to 1200¥,¥001-LEC (10223)¥,¥¥,¥Regular Academic Session¥,¥TuTh 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Dipti Khera¥,¥Open¥
¥ARTHUA541128020¥,¥ARTH-UA 541 - Art in The Islamic World II: Mongols to Modernism¥,¥001-LEC (19799)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Nadia Ali¥,¥Open¥
¥ARTHUA560128025¥,¥ARTH-UA 560 - Arts of Africa¥,¥001-LEC (9427)¥,¥¥,¥Regular Academic Session¥,¥TuTh 3:30pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Sandy Prita Meier, Scarlett Hebrides Strauss¥,¥Closed¥
¥ARTHUA601128027¥,¥ARTH-UA 601 - History of Architecture: Antiquity to Present¥,¥001-LEC (9432)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Grace Alice Walsh, Jonathan Hume Ritter¥,¥Open¥
¥ARTHUA601128027¥,¥ARTH-UA 601 - History of Architecture: Antiquity to Present¥,¥002-LEC (9433)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Grace Alice Walsh, Jonathan Hume Ritter¥,¥Closed¥
